survey_code,text,created
CSNR,Was this person here legally or part of the visa lottery?,2018-12-05 03:50:17.001176+00:00
CHOF,"I am not going to like any comments because I don't like any of the comments. I'm not going to report them because none are offensive. Yet, and despite the fact that I do not want to take any action in response to this article, I am being forced to leave a response in order to continue with the survey. In ""real life"" I would read this article, and the comments, and leave without any remark or report. Why them am I being forced to respond in a way that is false in order to complete the data collection phase of this experiment?",2018-12-05 04:00:22.044853+00:00
4RVQ,This is truly a tragedy,2018-12-05 10:26:03.520538+00:00
Y4AQ,alleged? due process much people.  doesn't look good.,2018-12-05 11:49:45.715248+00:00
T8PU,"Remember, innocent until proven guilty.",2018-12-05 15:49:26.598453+00:00
7BGN,Although I don't condone violence.  I would have a hard time feeling sorry seeing a child killer getting beat up.,2018-12-05 16:28:26.029956+00:00
KFUS,The murder of a child is not to be taken lightly but let the courts decide on guilt.  Taking to the street to beat another human being is wrong.  ,2018-12-05 16:29:11.801933+00:00
BAE4,Did the locals have proof that he was the perpetrator? ,2018-12-05 16:54:24.192960+00:00
0EBL,"If they actually caught him in the act, I could see why someone would do this. If they had to track him down, though, that implies they didn't catch him in the act. At that point the job of apprehending him/punishing him is better left to the police and justice system.",2018-12-05 17:55:23.950545+00:00
CVSG,What evidence was there to indicate his guilt?,2018-12-06 19:20:36.426739+00:00
RIN5,Such a tragic story. ,2018-12-06 22:02:20.589463+00:00
NK8I,Simply horrible.  I can’t blame them for wanting to take things into their own hands.,2018-12-07 12:38:21.072825+00:00
YWUY,Sad and Senseless. What a horrible loss for the parents.,2018-12-07 15:00:11.381701+00:00
8XSF,"I can't fathom the loss of one's child, particularly by homicide. That said, the only sympathy I feel is for the child's family.",2018-12-07 15:37:45.578963+00:00
AGDC,Sad for all involved.,2018-12-07 16:33:15.193957+00:00
YWZN,It's a shame he wasn't beat more severely.,2018-12-07 22:10:15.728945+00:00
JV0T,This is a really sad incident.,2018-12-07 23:11:31.870623+00:00
C6D4,"This is a tragedy. I hope for the sake of the victim the police arrested the right man, if not then it'll just be another tragedy of a innocent man being beaten and the real suspect still at large.",2018-12-07 23:11:34.437811+00:00
HHA9,I'm glad he was caught. My prayers for the family.,2018-12-07 23:14:45.677630+00:00
OC9Q,This is just sad.  I don't understand the mentality of some people!,2018-12-07 23:18:39.440382+00:00
Q85C,He got what he deserved. He should count himself lucky.,2018-12-07 23:20:05.746907+00:00
TM0P,fuck muslims,2018-12-07 23:22:01.858774+00:00
QKOC,That's sad,2018-12-07 23:25:28.750675+00:00
87S9,Don't know how people like him are present.,2018-12-07 23:30:13.702713+00:00
FGTC,Innocent until proven guilty in a court of law.,2018-12-07 23:38:25.037789+00:00
LPNM,"I know vigilante justice is frowned upon, but I can see why a person would take the law in their own hands when certain crimes are committed. ",2018-12-07 23:40:00.161503+00:00
JZZW,While I don't want people to take the law into their own hands... I wish I felt worse about it. ,2018-12-07 23:40:25.076989+00:00
QLPM,I think he got what he needed to get and hope he feared for his life while he was getting beaten got off much easier than the little girl.,2018-12-07 23:42:07.664746+00:00
FDSY,"Good for them. Muslim , christian, or agnostic.. Should have done more to the, ",2018-12-07 23:45:43.122071+00:00
UT7M,nothing is worse than harming a child,2018-12-07 23:52:26.848925+00:00
ITYO,Sad,2018-12-07 23:52:49.733019+00:00
CGFU,I really hope he gets charged with this gruesome murder.,2018-12-07 23:54:00.200845+00:00
QFM5,I 'am praying for the family.,2018-12-07 23:55:41.051780+00:00
JFE0,They should get off jail free. ,2018-12-07 23:55:42.293932+00:00
I5RD,Way to go locals! I would have done it too!,2018-12-07 23:56:25.366964+00:00
UJDG,Not right for people to take the law into their own hands.,2018-12-07 23:57:26.416175+00:00
AJI0,He deserves worse than that.,2018-12-07 23:57:59.460839+00:00
REB8,"I understand the need to do something, but beating a person in the street is ridiculous.  ",2018-12-08 00:02:37.129250+00:00
JW9T,i feel so bad and wish there was something i could do to help out in this time of need.It is people like that that is why the world cant heal and we cant have peace,2018-12-08 00:11:38.310200+00:00
G4UF,Sad that this has happened. RIP to the victim,2018-12-08 00:19:47.362696+00:00
49KM,Just beating someone isn't the American way.  We have a justice system.  ,2018-12-08 00:21:51.539056+00:00
G7V7,He deserved that beat down!,2018-12-08 00:23:22.042343+00:00
BOBV,i hope one day we can stop seeing things like these !,2018-12-08 00:29:03.789888+00:00
LGS5,This is crazy.,2018-12-08 00:30:57.348174+00:00
RY17,I hope this is fixed in a peaceful manner and hope no one gets hurt.,2018-12-08 00:31:34.086727+00:00
IS6C,It's so sad. Heart goes out to the family.,2018-12-08 00:33:57.477334+00:00
16IU,how did they know he was the right guy?,2018-12-08 00:33:57.746669+00:00
AX53,It's time for the justice system to take over,2018-12-08 00:35:14.458845+00:00
DFXJ,Thoughts and concerns goes out to the victims and the families victims.,2018-12-08 00:41:11.945603+00:00
4GX4,I hope they caught the right man.,2018-12-08 01:12:54.728095+00:00
KWFT,This is such a sad situation for everyone involved. ,2018-12-08 01:14:26.247676+00:00
ZWJV,The people who beat this person should be let go.,2018-12-08 01:17:27.734965+00:00
QTS0,long overdue,2018-12-08 01:19:05.713920+00:00
OQQG,"This is what he gets, if you go around abusing children you shouldn't be suprised when their parents come after you. This man deserved everything he got and I would need to see more evidence to make a final decision but I think a case could be made that the citizens were conducting a citizen's arrest and just doing what they had to in order to detain the suspect until police arrived.",2018-12-08 01:41:24.025717+00:00
DKFO,No one should have to bury their own child.  No one.,2018-12-08 02:51:12.216217+00:00
V1GR,An unnecessary violence for this poor family.,2018-12-08 02:52:25.866500+00:00
TZ2B,"I wish they would have finished the job, it would save the taxpayers a lot of money!",2018-12-08 02:52:50.957630+00:00
VEIR,Such a difficult place to be and what heartache the family must feel.,2018-12-08 02:53:43.190493+00:00
UOM5,I hope that this man really did the crime and wasn't assaulted for nothing.,2018-12-08 02:54:24.827752+00:00
VEIR,such a difficult place to be and the heart ache this family must be facing,2018-12-08 02:54:31.600807+00:00
BL2O, I CAN'T SAY HIS DEMISE WOULDN'T COME FROM MY HANDS IF IT HAD BEEN MY CHILD. ALTHOUGH I FEEL ITS THE CHILD'S RETRIBUTION AND THE FAMILY'S. PRAYERS TO THE FAMILY,2018-12-08 02:57:37.096950+00:00
5GCI,It's horrible! There's no reason to kill a child!,2018-12-08 02:57:42.584922+00:00
F6AV,I can't begin to say what I think should happen to child killers. Rest in peace...,2018-12-08 02:58:29.775184+00:00
Y6DD,I think that the three citizens who beat the perpetrator should be released because of the situation and that they reacted to a crises situation and should not be charged.,2018-12-08 02:59:01.001092+00:00
DNCV,"If this man killed my child, I would have him begging for death.",2018-12-08 03:00:09.499606+00:00
J4SU,This is horrendous.,2018-12-08 03:01:51.007152+00:00
TEWB,"I'd like to know more details about what happened to the child.  Is this man for sure the killer or is he just targeted because he's Muslim?  Also, I wonder what charges will be brought upon the three men that beat him up.  Hope they get jury hearings because that would be hard to prosecute.",2018-12-08 03:04:08.792865+00:00
K5ZE,they must have seen him literally in the act to respond as they did,2018-12-08 03:08:21.926606+00:00
VIZG,Wow! ,2018-12-08 03:37:21.520729+00:00
0RSQ,He killed child that's not correct.,2018-12-08 03:43:17.634311+00:00
KMZF,"I will never understand what leads a person to murder, especially a child. He was lucky he was spared his life, and now he can rot in jail, unless his fellow inmates decide to finish what was started before he was arrested!! Prayers to the family of the child.",2018-12-08 03:56:25.811455+00:00
1HVV,If he did do it then what comes around goes around. My daughter's rapist is free,2018-12-08 04:02:48.291492+00:00
0ES7,How sad!,2018-12-08 04:18:00.532865+00:00
IU8O,"There needs to be a lot more detail before it's time to beat someone in the street. A person that murders a child should be put to death, but courts are there to ensure that the right person is receiving the punishment.",2018-12-08 05:30:20.090940+00:00
MU54,"Very sad story. Tragic for the victim, family of the victim, town at large, and the Muslim community that will end up getting hate filled blame.",2018-12-08 05:33:35.975507+00:00
HIP9,This is terrible,2018-12-08 05:35:41.636916+00:00
IZHM,"This doesn't sound like vengence, this sounds like a hate crime.",2018-12-08 05:40:15.712523+00:00
URUH,I don't think the three local citizens should suffer any consequences for their actions.  I would do the same thing if that were my child.  I believe that man got exactly what he deserved!!,2018-12-08 06:31:08.488862+00:00
KMYB,It is interesting,2018-12-08 06:54:31.308032+00:00
XP2X,I don't blame these locals one bit.,2018-12-08 06:55:18.996083+00:00
LV6G,"How sad can this be, to harm an innocent child",2018-12-08 06:57:38.512695+00:00
I9FR,"This is really sad, I hope they ultimately have the right person in custody.",2018-12-08 07:22:11.285967+00:00
AC5D,I think it is awful that this kind of thing can happen in our county. Please keep America in your prayers!,2018-12-08 07:26:34.169904+00:00
481S,Vigilante justice is never ok ,2018-12-08 07:29:00.428069+00:00
PEAC,"@FilmFanatic6, have you heard of honor killings? its sad.",2018-12-08 07:36:57.821398+00:00
VUIT,Don't forward to police. killed him.,2018-12-08 07:44:48.474789+00:00
VUIT,No,2018-12-08 07:45:19.814265+00:00
VUIT,The identity of the victim is not been released.,2018-12-08 07:47:10.244193+00:00
VUIT,yes. I am killed him whobody killed my child.,2018-12-08 07:48:15.752069+00:00
VUIT,killed him immediately,2018-12-08 07:49:25.296438+00:00
HSI5,Hope it wasn't the wrong guy,2018-12-08 08:06:41.796580+00:00
HHYX,Very sad,2018-12-08 08:32:34.312979+00:00
T9XG,"the residents being taken into custody is the right call, even though the suspect was wrong. The residents did assault on the suspect which is still a crime.",2018-12-08 08:43:21.130012+00:00
E6YF,Very sad,2018-12-08 08:45:06.466562+00:00
OZB3,Thats horrible.,2018-12-08 08:55:19.674753+00:00
T42G,What a tragedy! I'm glad the man got what was coming to him.,2018-12-08 12:36:41.726600+00:00
UZAL,Are they sure he was the correct perpetrator?  ,2018-12-08 13:56:34.729776+00:00
VQFO,If we do not have innocent until proven guilty in this country what do we have?,2018-12-08 13:58:43.347911+00:00
BNG9,He should have been hung in a public square.,2018-12-08 13:59:03.781569+00:00
7NLS,Alleged perpetrator -what if they beat an innocent man?,2018-12-08 13:59:37.422213+00:00
JHO7,no comment,2018-12-08 13:59:52.099430+00:00
OM6E,"Horrible tragedy . That being said, I hope  they were 100% sure that they had the right man before they beat him up. If it was in fact him, I hope he suffers.",2018-12-08 14:01:54.427289+00:00
POV9,This is such a sad story.,2018-12-08 14:03:11.962815+00:00
AVBH,They should have killed him right then and there. Hopefully they put him in general population and do not waste tax money protecting him from other inmates.,2018-12-08 14:07:06.725465+00:00
MZNL,Vigilante justice is not the way to go.,2018-12-08 14:09:53.632212+00:00
KSPZ,I really hope they get this guy.,2018-12-08 14:09:54.061939+00:00
1LZY,"Children are innocent, this man deserves to be punished for his crime",2018-12-08 14:13:14.884918+00:00
PXEP,Not much info to go on in the article,2018-12-08 14:18:46.026480+00:00
DHSX,Justice was done in the street like taking out a filthy rat! Too bad they didn't finish the job. ,2018-12-08 14:25:10.619382+00:00
KWQO,I would be crazy mad if this happened to my child,2018-12-08 14:26:48.154288+00:00
F8DT,remember innocent till proven guilty,2018-12-08 14:27:21.650705+00:00
YEZP,I hope this man gets what he deserves!,2018-12-08 14:28:03.302885+00:00
5QST,Not sure how effective is vigilante justice but hopefully that people who committed the crime are punished,2018-12-08 14:28:20.056361+00:00
H7RD,What a bad dude. ,2018-12-08 14:28:39.438418+00:00
5NMK,Hope they got the right person and didn't beat the cap out of an innocent man..,2018-12-08 14:29:10.782579+00:00
G7BI,damn that's crazy,2018-12-08 14:29:30.083404+00:00
W8FK,This guy should be arrested and charged if he's guilty not beaten in the street like some third world mob.,2018-12-08 14:30:27.101055+00:00
W8FK,This guy should be arrested and charged if he's guilty not beaten in the street like some third world mob.,2018-12-08 14:30:27.252236+00:00
A8VR,Tragic,2018-12-08 14:30:54.322601+00:00
FOXV,How incredibly awful ,2018-12-08 14:31:22.666987+00:00
QBZP,You cant be killing a child not expect something to come from it.,2018-12-08 14:31:50.354018+00:00
QKS2,What if they got the wrong person and this is just a cover up of a hate crime against Muslims?  This is worrisome.,2018-12-08 14:31:58.650357+00:00
AIXH,"stories like this annoy me. The dangling of a juicy morsel like ""homicide of a child"", and everyone turns to look. I wish these stories were reported after all sides of the story are in. I am staunchly against pre-judgement. I can think of at least 3 major stories in my lifetime that painted victims as villains at the outset.",2018-12-08 14:32:04.770368+00:00
JVBG,"What is the world coming to? It seems like every day we have another senseless tragedy such as this to deal with. I understand the sentiment of the gang who beat the perpetrator and would have likely participated, had I been there. It does raise the question though, where were the authorities?",2018-12-08 14:34:24.444560+00:00
RXVP,"Good, I hope they beat him badly.",2018-12-08 14:36:46.371920+00:00
NGGK,Terrible.,2018-12-08 14:42:15.040964+00:00
0PBB,So sad! My heart goes out to the victim and his family :(,2018-12-08 14:46:49.396209+00:00
8BIW,Miscellaneous,2018-12-08 14:56:17.805791+00:00
8A6F,"I would not be surprised if the perpetrator turned out to be on psychiatric medications, which seem to often tip people into psychosis, although the media always seems to be careful not to mentio this because they don't want to alienate Big Pharma and Psychiatry.",2018-12-08 14:58:26.104276+00:00
YPBV,i would gerard butler them,2018-12-08 14:58:36.277209+00:00
