survey_code,text,created
MCWB,"My heart goes out to the victim and the victims' family regardless of who the perpetrator is, but before beating the guy someone should've made sure he actually was the perpetrator.",2018-12-11 05:45:18.033943+00:00
I1AM,There is nothing worst than losing your own child. My condolences to the family. ,2018-12-11 05:45:51.814710+00:00
SMJ8,If he alleged then how do they know one hundred percent that he is guilty? Now having said that I would have a very hard time not being violent if it were my child.,2018-12-11 05:47:48.294259+00:00
JRF5,"It is very sad and terrible that this happened, but I can understand why the towns people would do something like this could happen.",2018-12-11 05:49:13.150076+00:00
TCIS,"I wonder what led the ""locals"" to believe that this man was the murderer.",2018-12-11 05:49:33.799811+00:00
DEZQ,"Violence is uncalled for on all levels, by the perpertrator and by people reacting on their own. Let the justice system do its work.",2018-12-11 05:49:58.880308+00:00
JBTP,"kids are angels no one should kill them,they are just innocent.",2018-12-11 05:53:19.217674+00:00
01VA,The Homicide of Local Child is very best ,2018-12-11 05:53:49.643307+00:00
01VA,The Homicide of Local Child is very best ,2018-12-11 05:53:49.684271+00:00
3GGO,Condolences to her family so horrible ,2018-12-11 05:54:00.339235+00:00
ZRPE,The loss of a child is unbearable but vigilantism is wrong.  ,2018-12-11 05:55:58.738051+00:00
EELO,Hopefully the right man is punished. ,2018-12-11 05:56:40.842806+00:00
YT7C,well that's not good.,2018-12-11 05:57:43.869988+00:00
RLEJ,You gotta let the law handle these things.  It's only going to cause you problems when you try to serve your own justice.  ,2018-12-11 05:58:18.122269+00:00
56DJ,"No parent should endure this pain, children are suppose to burry their parents and not the other way around. I hope this evil man gets what is coming to him!",2018-12-11 06:04:34.242488+00:00
BACX,"THIS IS VERY SAD , TOO MANY KILLINGS OF YOUNG CHILDREN",2018-12-11 06:08:20.126650+00:00
KHVU,"He got what he had coming, what a sick man",2018-12-11 06:12:25.686011+00:00
QGBO,"People are jumping the gun a bit here, aren't they?",2018-12-11 06:15:12.499782+00:00
SCMS,"There is never an excuse for murder, let alone the murder of a child. ",2018-12-11 06:28:51.847743+00:00
9AFS,Hurting a child is the worst thing you could ever do.,2018-12-11 06:33:37.434342+00:00
HUZY,wow,2018-12-11 06:39:00.381632+00:00
1IZU,"It's hard to do sometimes, but vigilantism isn't the answer, especially when someone hasn't been found guilty yet.",2018-12-11 06:43:39.944955+00:00
EASE,"While I am glad that the alleged killer was taken into custody and off the streets, I am glad they didn't let the residents go scotch free. We can't take justice into our own hands especially without proof. That said, I also understand why they did. If I knew someone hurt my child, I'd kill them consequences and all.",2018-12-11 06:55:29.575301+00:00
PBYT,"One act of violence isn't stopped by another. One is horrific and the other isn't justice, it is only teaching in that, it makes it easier, it sets an unjustifiable precedence.",2018-12-11 08:19:18.585029+00:00
EPCL,When a child is murdered this makes people angry and if they thought or knew he had killed the child I can see why they would be angry,2018-12-11 15:47:04.124626+00:00
GG9C,Wow! Why would this Muslim refugee want to kill someone like that? He should be deported immediately with a permanent ban from the country for life! ,2018-12-11 15:50:32.180963+00:00
5FHN,Incredibly sad on multiple fronts...,2018-12-11 16:00:31.541803+00:00
4LIS,If this happened to me I wouldn't know what to think that's just disgusting and honestly this guy deserves all the hate he's getting. ,2018-12-11 16:05:47.054729+00:00
EYMU,Sad story all around.,2018-12-11 16:27:51.946108+00:00
HBN2,"this issue should be investigated throughoutly and handled with care and due dilligence, my condolescene to the family of the child",2018-12-11 16:41:50.552826+00:00
1M5L,he got what he deserved. ,2018-12-11 16:42:52.439568+00:00
Z7WK,This makes me so sad.,2018-12-11 16:43:43.487100+00:00
QPKS,Too bad they didn't kill the perp!,2018-12-11 16:43:54.426583+00:00
YO9B,"If the middle aged man was the perpetrator, I think he got what he deserved.",2018-12-11 16:49:51.617960+00:00
LMN2,"I fail to see the compassion for refugees, especially when they commit such horrible crimes against a child or our country. ",2018-12-11 16:50:42.582776+00:00
AY4B,Its a tough choice to cause harm to someone who has taken someone special from your life. Killing the perp does not anser the question of why this happens,2018-12-11 16:51:08.116379+00:00
C8WW,Just a very devestating situation all around.,2018-12-11 16:52:11.081614+00:00
GT1X,It's premature to attack someone who has not been proven guilty. This is behavior I would expect in some backward society.,2018-12-11 16:56:07.049123+00:00
BHSV,It is not good for anyone to suffer such mob justice.,2018-12-11 16:57:29.980482+00:00
SGMO,This was not a good thing and honestly I hope the family of the kid can get some closure,2018-12-11 17:15:48.837762+00:00
8ZI3,I think we need more details before making further comments.,2018-12-11 17:40:49.220506+00:00
I280,The whole situation is beyond terrible. ,2018-12-11 17:45:40.815242+00:00
25YB,"Follow-up, please",2018-12-11 17:47:32.785460+00:00
UVK1,SHOCKING IN A WAY. WHAT IS THE WORLD COMING TO.,2018-12-11 17:48:26.119422+00:00
UVK1,SHOCKING IN A WAY. WHAT IS THE WORLD COMING TO.,2018-12-11 17:48:26.204967+00:00
BLWN,Taking justice into your hands is never the solution.,2018-12-11 17:49:17.789314+00:00
ETN1,This is the definition of street justice. Glad they have the bad guy in custody!,2018-12-11 17:50:32.671602+00:00
TEDT,This is profoundly sad for all involved.  There is far too little detail to account for the cause of the events to make any conclusions.,2018-12-11 18:03:24.817273+00:00
VKOV,It is sad that the child was killed.  But taking justice into their own hands was a dangerous thing for these people to do.  Who gave them the power to judge?  What if they got the wrong person?  ,2018-12-11 18:14:57.943163+00:00
0QPF,I think that he deserved what he got. If that was my child I dont think I could refrain from hurting him either.,2018-12-11 18:48:23.118465+00:00
3A3I,"Vigilante justice is never right, but I can understand the desire to want to harm someone that harmed or murdered your child. ",2018-12-11 19:07:55.714523+00:00
IYDQ,"Sounds to me like city racism to blame the muslim, before a trail could even take place.",2018-12-11 19:15:52.625960+00:00
ISBG,"""...the alleged perpetrator"". So was this the actual guy who did it? Or did the people beat up an innocent man?",2018-12-11 19:19:54.400724+00:00
UTBL,"I don't want to leave a comment, nor do I want to like or report a comment. ",2018-12-11 19:22:01.346363+00:00
H0XL,I don't know what I would do if it were my child. It's very sad that this keeps happening. ,2018-12-11 19:25:32.169659+00:00
IR0H,"I'm no fan of Muslim refugees, but vigilantism is just as bad.",2018-12-11 19:28:06.660892+00:00
CDOL,Such a terrible event this was. I don't know what words can be said after such a act has taken place.,2018-12-11 19:34:12.690026+00:00
OULM,I wonder if any of the locals that took justice into their own hands knew the victim.,2018-12-11 19:56:19.252752+00:00
8MRF,How sad :(,2018-12-11 19:58:22.234941+00:00
062V,Anyone who messes with my children will find themselves in a body bag. Dirt nap. End of story.,2018-12-11 20:02:30.147161+00:00
LJBQ,This is so sad. Prayers for the victims!,2018-12-11 20:03:30.098284+00:00
LUWJ,Were they sure that the man was guilty of the crime?,2018-12-11 20:05:02.177714+00:00
FM7G,A heinous crime this person has to pay for what he did !!,2018-12-11 20:15:40.550431+00:00
FM7G,A heinous crime this person has to pay for what he did !!,2018-12-11 20:15:40.846411+00:00
YQHT,"I couldn't imagine how I would react if this man touched my child, however I think it's a tad aggressive that these people then attacked him. just let the police deal with him!",2018-12-11 21:12:27.817164+00:00
FPW8,"People should let the police handle it, and stop taking the law into their own hands. ",2018-12-11 21:56:52.604093+00:00
JPUT,What is wrong with him? Who can be so cruel! ,2018-12-11 23:41:28.612901+00:00
R1QN,I am glad this guy was caught! Let them have jailhouse justice on him! Nobody likes people in jail who hurt kids or the elderly. He is a lowlife! Good work police keep the streets of Ohio safe!,2018-12-11 23:57:56.161470+00:00
E4DO,This is terrible,2018-12-12 00:28:15.582021+00:00
